stateDt,decideCnt,daily ,Restriction
20200221,204,122,1
20200222,433,229,1
20200223,602,169,1
20200224,833,231,1
20200225,977,144,1
20200226,1261,284,1
20200227,1766,505,1
20200228,2337,571,1
20200229,3150,813,1
20200301,3736,586,1
20200302,4212,476,1
20200303,4812,600,1
20200304,5328,516,1
20200305,5766,438,1
20200306,6284,518,1
20200307,6767,483,1
20200308,7134,367,1
20200309,7382,248,1
20200310,7513,131,1
20200311,7755,242,1
20200312,7869,114,1
20200313,7979,110,1
20200314,8086,107,1
20200315,8162,76,1
20200316,8236,74,1
20200317,8320,84,1
20200318,8413,93,1
20200319,8565,152,1
20200320,8652,87,1
20200321,8799,147,1
20200322,8897,98,1.3
20200323,8961,64,1.3
20200324,9037,76,1.3
20200325,9137,100,1.3
20200326,9241,104,1.3
20200327,9332,91,1.3
20200328,9478,146,1.3
20200329,9583,105,1.3
20200330,9661,78,1.3
20200331,9786,125,1.3
20200401,9887,101,1.3
20200402,9976,89,1.3
20200403,10062,86,1.3
20200404,10156,94,1.3
20200405,10237,81,1.3
20200406,10284,47,1.3
20200407,10331,47,1.3
20200408,10384,53,1.5
20200409,10423,39,1.5
20200410,10450,27,1.5
20200411,10480,30,1.5
20200412,10512,32,1.5
20200413,10537,25,1.5
20200414,10564,27,1.5
20200415,10591,27,1.5
20200416,10613,22,1.5
20200417,10635,22,1.5
20200418,10653,18,1.5
20200419,10661,8,1.5
20200420,10674,13,1.3
20200421,10683,9,1.3
20200422,10694,11,1.3
20200423,10702,8,1.3
20200424,10708,6,1.3
20200425,10718,10,1.3
20200426,10728,10,1.3
20200427,10738,10,1.3
20200428,10752,14,1.3
20200429,10761,9,1.3
20200430,10765,4,1.3
20200501,10774,9,1.3
20200502,10780,6,1.3
20200503,10793,13,1.3
20200504,10801,8,1.3
20200505,10804,3,1.3
20200506,10806,2,1
20200507,10810,4,1
20200508,10822,12,1
20200509,10840,18,1
20200510,10874,34,1
20200511,10909,35,1
20200512,10936,27,1
20200513,10962,26,1
20200514,10991,29,1
20200515,11018,27,1
20200516,11037,19,1
20200517,11050,13,1
20200518,11065,15,1
20200519,11078,13,1
20200520,11110,32,1
20200521,11122,12,1
20200522,11142,20,1
20200523,11165,23,1
20200524,11190,25,1
20200525,11206,16,1
20200526,11225,19,1
20200527,11265,40,1
20200528,11344,79,1
20200529,11402,58,1
20200530,11441,39,1
20200531,11468,27,1
20200601,11503,35,1
20200602,11541,38,1
20200603,11590,49,1
20200604,11629,39,1
20200605,11668,39,1
20200606,11719,51,1
20200607,11776,57,1
20200608,11814,38,1
20200609,11852,38,1
20200610,11902,50,1
20200611,11947,45,1
20200612,12003,56,1
20200613,12051,48,1
20200614,12085,34,1
20200615,12121,36,1
