1st,1stLabel,1stDay,2nd,2ndLabel,2ndDay,3rd,3rdLabel,3rdDay,4th,4thLabel,4thDay,5th,5thLabel,5thDay,6th,6thLabel,6thDay,7th,7thLabel,7thDay
122,0,1,229,0,0,169,-4,0,231,0,1,144,0,1,284,0,1,505,0,1
229,0,0,169,-4,0,231,0,1,144,0,1,284,0,1,505,0,1,571,1,1
169,-4,0,231,0,1,144,0,1,284,0,1,505,0,1,571,1,1,813,0,0
231,0,1,144,0,1,284,0,1,505,0,1,571,1,1,813,0,0,586,0,0
144,0,1,284,0,1,505,0,1,571,1,1,813,0,0,586,0,0,476,0,1
284,0,1,505,0,1,571,1,1,813,0,0,586,0,0,476,0,1,600,0,1
505,0,1,571,1,1,813,0,0,586,0,0,476,0,1,600,0,1,516,0,1
571,1,1,813,0,0,586,0,0,476,0,1,600,0,1,516,0,1,438,0,1
813,0,0,586,0,0,476,0,1,600,0,1,516,0,1,438,0,1,367,0,1
586,0,0,476,0,1,600,0,1,516,0,1,438,0,1,367,0,1,248,-1,0
476,0,1,600,0,1,516,0,1,438,0,1,367,0,1,248,-1,0,131,-1,0
600,0,1,516,0,1,438,0,1,367,0,1,248,-1,0,131,-1,0,242,0,1
516,0,1,438,0,1,367,0,1,248,-1,0,131,-1,0,242,0,1,114,-3,1
438,0,1,367,0,1,248,-1,0,131,-1,0,242,0,1,114,-3,1,110,0,1
367,0,1,248,-1,0,131,-1,0,242,0,1,114,-3,1,110,0,1,107,-7,1
248,-1,0,131,-1,0,242,0,1,114,-3,1,110,0,1,107,-7,1,76,0,1
131,-1,0,242,0,1,114,-3,1,110,0,1,107,-7,1,76,0,1,74,0,0
242,0,1,114,-3,1,110,0,1,107,-7,1,76,0,1,74,0,0,84,-2,0
114,-3,1,110,0,1,107,-7,1,76,0,1,74,0,0,84,-2,0,93,0,1
110,0,1,107,-7,1,76,0,1,74,0,0,84,-2,0,93,0,1,152,-3,1
107,-7,1,76,0,1,74,0,0,84,-2,0,93,0,1,152,-3,1,87,-1,1
76,0,1,74,0,0,84,-2,0,93,0,1,152,-3,1,87,-1,1,147,0,1
74,0,0,84,-2,0,93,0,1,152,-3,1,87,-1,1,147,0,1,87,0,1
84,-2,0,93,0,1,152,-3,1,87,-1,1,147,0,1,87,0,1,147,1,0
93,0,1,152,-3,1,87,-1,1,147,0,1,87,0,1,147,1,0,98,0,0
152,-3,1,87,-1,1,147,0,1,87,0,1,147,1,0,98,0,0,64,0,1
87,-1,1,147,0,1,87,0,1,147,1,0,98,0,0,64,0,1,76,0,1
147,0,1,87,0,1,147,1,0,98,0,0,64,0,1,76,0,1,100,-1,1
87,0,1,147,1,0,98,0,0,64,0,1,76,0,1,100,-1,1,104,0,1
147,1,0,98,0,0,64,0,1,76,0,1,100,-1,1,104,0,1,91,0,1
98,0,0,64,0,1,76,0,1,100,-1,1,104,0,1,91,0,1,146,-1,0
64,0,1,76,0,1,100,-1,1,104,0,1,91,0,1,146,-1,0,105,-1,0
76,0,1,100,-1,1,104,0,1,91,0,1,146,-1,0,105,-1,0,78,0,1
100,-1,1,104,0,1,91,0,1,146,-1,0,105,-1,0,78,0,1,125,-1,1
104,0,1,91,0,1,146,-1,0,105,-1,0,78,0,1,125,-1,1,101,0,1
91,0,1,146,-1,0,105,-1,0,78,0,1,125,-1,1,101,0,1,89,-2,1
146,-1,0,105,-1,0,78,0,1,125,-1,1,101,0,1,89,-2,1,86,-1,1
105,-1,0,78,0,1,125,-1,1,101,0,1,89,-2,1,86,-1,1,94,0,0
78,0,1,125,-1,1,101,0,1,89,-2,1,86,-1,1,94,0,0,71,0,0
125,-1,1,101,0,1,89,-2,1,86,-1,1,94,0,0,71,0,0,47,0,1
101,0,1,89,-2,1,86,-1,1,94,0,0,71,0,0,47,0,1,47,0,1
89,-2,1,86,-1,1,94,0,0,71,0,0,47,0,1,47,0,1,53,0,1
86,-1,1,94,0,0,71,0,0,47,0,1,47,0,1,53,0,1,39,0,1
94,0,0,71,0,0,47,0,1,47,0,1,53,0,1,39,0,1,27,0,1
71,0,0,47,0,1,47,0,1,53,0,1,39,0,1,27,0,1,30,0,0
47,0,1,47,0,1,53,0,1,39,0,1,27,0,1,30,0,0,32,0,0
47,0,1,53,0,1,39,0,1,27,0,1,30,0,0,32,0,0,25,0,1
53,0,1,39,0,1,27,0,1,30,0,0,32,0,0,25,0,1,27,0,1
39,0,1,27,0,1,30,0,0,32,0,0,25,0,1,27,0,1,27,0,1
27,0,1,30,0,0,32,0,0,25,0,1,27,0,1,27,0,1,22,0,1
30,0,0,32,0,0,25,0,1,27,0,1,27,0,1,22,0,1,22,0,1
32,0,0,25,0,1,27,0,1,27,0,1,22,0,1,22,0,1,18,1,0
25,0,1,27,0,1,27,0,1,22,0,1,22,0,1,18,1,0,8,0,0
27,0,1,27,0,1,22,0,1,22,0,1,18,1,0,8,0,0,13,1,1
27,0,1,22,0,1,22,0,1,18,1,0,8,0,0,13,1,1,9,2,1
22,0,1,22,0,1,18,1,0,8,0,0,13,1,1,9,2,1,11,0,1
22,0,1,18,1,0,8,0,0,13,1,1,9,2,1,11,0,1,8,0,1
18,1,0,8,0,0,13,1,1,9,2,1,11,0,1,8,0,1,6,2,1
8,0,0,13,1,1,9,2,1,11,0,1,8,0,1,6,2,1,10,0,0
13,1,1,9,2,1,11,0,1,8,0,1,6,2,1,10,0,0,10,-2,0
9,2,1,11,0,1,8,0,1,6,2,1,10,0,0,10,-2,0,10,-1,1
11,0,1,8,0,1,6,2,1,10,0,0,10,-2,0,10,-1,1,14,0,1
8,0,1,6,2,1,10,0,0,10,-2,0,10,-1,1,14,0,1,9,-2,1
6,2,1,10,0,0,10,-2,0,10,-1,1,14,0,1,9,-2,1,4,0,0
10,0,0,10,-2,0,10,-1,1,14,0,1,9,-2,1,4,0,0,9,0,1
10,-2,0,10,-1,1,14,0,1,9,-2,1,4,0,0,9,0,1,6,0,0
10,-1,1,14,0,1,9,-2,1,4,0,0,9,0,1,6,0,0,13,0,0
