FRI,SAT,SUN,MON,TUE,WEN,THR,LABELDATA
122,229,169,231,144,284,505,-4
571,813,586,476,600,516,438,1
367,248,131,242,114,110,107,-12
76,74,84,93,152,87,147,-6
87,147,98,64,76,100,104,0
91,146,105,78,125,101,89,-5
86,94,71,47,47,53,39,-1
27,30,32,25,27,27,22,0
22,18,8,13,9,11,8,4
6,10,10,10,14,9,4,-3
9,6,13,8,3,2,4,-3
12,18,34,35,27,26,29,-3
27,19,13,15,13,32,12,-4
20,23,25,16,19,40,79,-2
58,39,27,35,38,49,39,-2
39,51,57,38,38,50,45,-6
56,48,34,36,34,43,59,-5
49,67,48,17,46,51,28,-6
39,51,62,42,43,50,54,0
63,63,61,46,44,63,49,-3
45,35,44,92,33,39,61,1
60,39,34,26,45,63,59,0
41,113,58,25,28,48,18,0
36,31,30,23,34,33,43,-1
20,43,36,28,34,54,56,-3
103,166,279,197,246,297,288,-3
324,332,397,266,280,320,441,-1
371,323,299,248,235,267,195,-6
198,168,167,119,136,156,155,-1
176,136,121,109,106,113,153,-4
126,110,82,70,61,110,125,-2
114,61,95,50,38,113,77,-5
63,75,64,73,75,114,69,-1
54,72,58,97,102,84,99,2
47,73,91,76,58,91,119,0
155,77,61,119,88,103,125,0
114,126,124,97,75,118,125,-2
145,89,143,126,100,146,143,-3
191,205,208,223,229,313,343,-3
363,386,330,271,349,382,583,3
569,488,449,377,451,511,540,-1
629,583,631,615,594,677,666,-3
688,950,1030,718,880,1078,1011,0
1062,1055,1095,926,869,1090,983,-1
1237,1132,970,808,1045,1048,967,-2
1029,824,651,1020,715,839,868,-4
672,641,665,450,537,561,516,-5
513,579,520,389,386,403,400,-6
344,430,392,437,354,554,497,-6
469,355,303,455,336,467,451,-1
369,393,372,289,302,443,504,0
403,362,326,344,456,621,621,-1
561,448,416,332,357,439,396,-1
406,399,355,353,343,444,424,-4
398,417,416,346,446,470,465,0
488,490,459,382,363,469,445,-3
463,452,456,410,346,425,430,0
494,505,482,384,441,506,551,-3
555,542,543,473,478,668,700,-3
671,676,614,587,542,731,698,-2
672,655,671,531,549,731,735,0
797,785,500,511,644,775,678,1
656,627,606,488,541,676,574,-3
525,701,564,463,511,635,715,0
747,681,610,619,528,653,646,-4
561,666,585,538,516,699,629,-2
587,533,479,430,459,677,681,4
695,744,556,485,454,601,611,-2
556,563,452,399,374,544,540,-1
507,482,429,357,395,644,610,0
634,668,614,501,595,794,762,0
826,793,742,711,746,1212,1275,0
1316,1378,1100,1324,1150,1615,1600,-1
1535,1454,1451,1252,1278,1784,1838,-3
